Date,B3SA3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LWSA3.SA,MLAS3.SA,PETR4.SA,POSI3.SA,PSSA3.SA,TOTS3.SA,VALE3.SA,^BVSP
2015-08-21,32632500,34968488,3324600,,,36921497,,,39848800,351900,826800,2075111,5072500,2869600.0
2015-08-24,61450200,41371405,5932400,,,46455931,,,70881000,181600,1506400,5242767,10706700,4727700.0
2015-08-25,44234100,32037546,3213800,,,42273138,,,58283200,200600,1573000,1559271,6042300,3726600.0
2015-08-26,54601800,42639489,5345700,,,54868752,,,43893300,325000,1757600,3716640,6615000,3739600.0
2015-08-27,54679500,36234870,4891100,,,60426556,,,66820200,144800,1638600,2732566,8865100,4252000.0
2015-08-28,26428500,29485223,3484300,,,35843606,,,77260900,74800,1656000,4289729,6267900,3778600.0
2015-08-31,46000800,47472874,7217900,,,51614014,,,76576400,108700,1856000,4782368,7932500,4667300.0
2015-09-01,31644900,32285423,5525600,,,39938637,,,52756400,108600,1030000,3585872,6389600,3665000.0
2015-09-02,27780000,24532364,4334400,,,24590290,,,56050600,187700,1742800,2408660,10601200,3740100.0
2015-09-03,31723500,34269926,4584500,,,35247933,,,56645400,67300,1361600,1884684,8880300,4103000.0
2015-09-04,38226600,27342130,6116500,,,28852549,,,35463400,65500,1352800,1166967,11979600,4174900.0
2015-09-08,25979400,22185825,6351200,,,18406654,,,29383000,145200,1239200,2088670,6504800,2851000.0
2015-09-09,55248300,32067521,9333700,,,33975686,,,38706300,182400,1748800,2062757,7716600,3699200.0
2015-09-10,47466000,31780953,9790300,,,51688214,,,62858700,168800,2044200,3563575,9679700,4483200.0
2015-09-11,29342100,20467056,6724300,,,65932978,,,53647300,111300,1234000,2608126,8185600,3615300.0
2015-09-14,37881900,24505152,9009500,,,53714746,,,52851400,52200,1689200,1620135,5714300,3579400.0
2015-09-15,46962900,23103564,6649400,,,78462371,,,35102900,181500,1216000,1065728,6058200,3562000.0
2015-09-16,59867100,28177811,5116800,,,63366782,,,66613400,61000,1215800,1409219,6522200,4320300.0
2015-09-17,48745200,28564507,4017200,,,46679488,,,72887600,65200,836000,1949164,7195500,4184700.0
2015-09-18,25416000,40512978,4543000,,,34501308,,,68097000,67600,906400,1699681,11238600,4381000.0
2015-09-21,19284300,27459478,2666000,,,30414415,,,41063600,37000,897200,4508479,5214900,2601200.0
2015-09-22,20963400,30349178,6892400,,,34215040,,,66720700,61500,1036000,2230285,8156600,4193100.0
2015-09-23,47576400,25816604,7256200,,,40860150,,,64774800,25800,1634200,2643680,5364500,3962000.0
2015-09-24,44850000,33828807,8521000,,,56775128,,,56577300,89000,905200,2334538,6066900,4331700.0
2015-09-25,29395200,21068041,3663200,,,48536558,,,44843100,24300,1096400,5897209,4420500,3135300.0
2015-09-28,22461300,25345085,3823000,,,35717865,,,37466900,72800,1186800,2333333,7584400,2771900.0
