Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2018-08-24,,11641511,2509400,,,18404494,,,,118400,1166600,,1870523
2018-08-27,,14927431,1521900,,,20203374,,,,120300,1583800,,595686
2018-08-28,,13109178,1278400,,,22833111,,,,69100,1197200,,769240
2018-08-29,,12102942,1434500,,,16839333,,,,56700,1084200,,1253744
2018-08-30,,24706927,2202700,,,29935879,,,,79700,1552800,,1162448
2018-08-31,,18953812,2729500,,,35925203,,,,59400,2311600,,1131413
2018-09-03,,8012194,1453500,,,10864550,,,,103200,660800,,431172
2018-09-04,,14768509,2265200,,,16643082,,,,54500,895400,,1565297
2018-09-05,,18032228,2899200,,,21467215,,,,53800,1118000,,815642
2018-09-06,,20384265,3026800,,,25847228,,,,43100,2743000,,3017002
2018-09-10,,33457187,1811000,,,18518340,,,,42400,2235800,,2126032
2018-09-11,,21427396,2147400,,,18969796,,,,215100,1823200,,929235
2018-09-12,,23259704,3723500,,,25608138,,,,38300,1677800,,1936208
2018-09-13,,13329113,2358200,,,18235754,,,,66900,1059600,,1935003
2018-09-14,,21348334,2651600,,,17743817,,,,214300,1395600,,3131800
2018-09-17,,15075491,2510500,,,18434495,,,,132600,1181800,,13752925
2018-09-18,,19103470,3354200,,,34588652,,,,121900,1470000,,2815125
2018-09-19,,21024582,4268400,,,38913249,,,,178700,1254600,,2292656
2018-09-20,,15624129,6593600,,,26202917,,,,131000,1348200,,913868
2018-09-21,,28994770,4356600,,,48613788,,,,260100,2017200,,1009684
2018-09-24,,15144490,2573200,,,18617645,,,,85000,1255800,,1831955
2018-09-25,,31067137,2261200,,,30687344,,,,145600,997000,,1475809
2018-09-26,,24086574,2583600,,,26265539,,,,185200,2130200,,2366476
2018-09-27,,21252662,2513200,,,56088489,,,,184400,1319800,,1631585
2018-09-28,,15520950,2869400,,,45994793,,,,66300,1294600,,3257747
2018-10-01,,12234711,1660600,,,17871157,,,,102600,746800,,2471633
2018-10-02,,34841959,3945500,,,35854589,,,,269300,743000,,1648157
2018-10-03,,59115885,5337300,,,50746609,,,,329400,1529400,,1116649
2018-10-04,,24886771,7628800,,,53532378,,,,452600,1973800,,1344739
2018-10-05,,31184691,3521500,,,44388234,,,,157100,801200,,1528236
2018-10-08,,61743918,17118200,,,70272407,,,,370200,2250400,,618887
2018-10-09,,35844362,3938900,,,57030179,,,,343600,1102600,,1060304
2018-10-10,,29962034,2811200,,,43674891,,,,104000,2476000,,1138042
2018-10-11,,27053852,3857500,,,39285576,,,,122700,1067400,,1705707
2018-10-15,,23334932,4386000,,,28390500,,,,171400,957000,,1703598
2018-10-16,,30352549,4789900,,,34492230,,,,283800,1716000,,3957385
2018-10-17,,30397271,7165500,,,28967986,,,,211400,1382800,,644197
2018-10-18,,22166740,3973800,,,34438516,,,,216000,3102000,,937069
2018-10-19,,11544561,3443800,,,31615017,,,,383800,1789600,,1629777
2018-10-22,,14200705,2951200,,,20381415,,,,223600,1261600,,4366864
2018-10-23,,15043547,4268200,,,22930975,,,,213700,1563000,,3144154
2018-10-24,,22560609,4929700,,,20321020,,,,387500,1118800,,2210097
2018-10-25,,29407646,5407600,,,27176574,,,,102900,2149000,,2094395
2018-10-26,,39156955,5418100,,,50137157,,,,151600,1900200,,2361053
2018-10-29,,49942846,5703200,,,45392284,,,,189700,2187600,,4752538
2018-10-30,,40421298,3577200,,,62316511,,,,160700,2302800,,1925361
2018-10-31,,31402070,5074000,,,36778987,,,,126300,1719200,,2834107
2018-11-01,,64765661,4639400,,,27241947,,,,162100,3365200,,1961819
2018-11-05,,32364862,6223300,,,25270921,,,,181500,2493800,,3337895
2018-11-06,,31382743,6691000,,,17739231,,,,111400,1968800,,2382145
2018-11-07,,33333564,3296700,,,23764845,,,,240200,1359800,,2114281
2018-11-08,,25262912,5372900,,,28068350,,,,118300,1143200,,1966339
2018-11-09,,24888848,3542000,,,22100904,,,,106600,945600,,842157
2018-11-12,,18200573,1681100,,,19514530,,,,132300,615000,,1293818
2018-11-13,,20710892,2881700,,,24402465,,,,327400,1701800,,1103391
2018-11-14,,33974999,2830200,,,23270549,,,,157400,1943000,,3372546
2018-11-16,,36361535,3707500,,,41634562,,,,133100,933800,,816244
2018-11-19,,15467923,3909300,,,22798001,,,,52500,1389600,,2902504
