Country Code,Country Name,ano,abertura_comercial_pct_pib,acesso_eletricidade_pct,celulares_por_100,crescimento_pib_pct,gasto_pesquisa_desenvolvimento_pct_pib,gasto_publico_educacao_pct_pib,pib_per_capita_usd,usuarios_internet_pct
BRA,Brazil,2023,33.6662298301284,99.8,101.020256020808,3.24165532813583,1.1938,,10377.5897719195,84.15060238
BRA,Brazil,2024,35.5845239385389,,101.926846460424,3.41931516597739,,,10310.5488778166,84.46347227
CHN,China,2015,38.6971848362625,100.0,92.5401171363348,6.97878002657477,2.01703,,8175.33285077393,50.29999924
CHN,China,2016,36.177170692978,100.0,97.2138770934621,6.77555562837017,2.0595,,8254.86859320357,53.2
CHN,China,2017,36.95085261586,100.0,104.073181609424,6.8912663621211,2.07771,,8979.67652709856,54.3
CHN,China,2018,36.8943843914718,100.0,116.229125477063,6.75671800166833,2.10232,,10085.6638148819,65.35839844
CHN,China,2019,35.1994202738836,100.0,122.670391850252,6.06850235053705,2.20144,,10342.9009524335,64.080881297515
CHN,China,2020,34.0389507864581,100.0,120.496715387079,2.34018843078414,2.35712,,10627.4637989619,70.05275998
CHN,China,2021,36.5206911762676,100.0,121.491918368395,8.57008513166322,2.38165,,12887.4357242941,73.05323517
CHN,China,2022,37.440719876366,100.0,124.195248970763,3.1341888719577,2.4945,,12970.6056414327,75.61131603
CHN,China,2023,36.1051923691138,100.0,128.247014127486,5.41484330099675,2.57729,3.89714002609253,12951.1782397043,90.6
CHN,China,2024,37.1984201388065,,131.753932036803,4.9773565917572,,,13303.1481543868,92.0
DEU,Germany,2015,77.7565815686922,100.0,117.401165117624,1.66300602334775,2.87725,4.76157999038696,41929.7549110722,87.5897993525767
DEU,Germany,2016,76.0059902166055,100.0,125.024012174369,2.22222216259371,2.88393,4.76321983337402,42948.9381932694,84.1652066441212
DEU,Germany,2017,77.4548394742448,100.0,132.003261888443,2.797906720551,2.9886,4.77830982208252,45553.9341495339,84.3941537010844
DEU,Germany,2018,79.1252260463654,100.0,128.945577229674,1.13569604599849,3.05057,4.88401985168457,48916.1686612154,87.037112092841
DEU,Germany,2019,79.0732427175683,100.0,128.292298108313,0.977734697038784,3.11256,5.02757978439331,47656.199739747,88.1345169091916
DEU,Germany,2020,72.9335327120137,100.0,128.424798814302,-4.13191443239947,3.0897,5.51600980758667,47394.8734504469,89.81294133
DEU,Germany,2021,79.9195348609851,100.0,127.125099449404,3.90999994204108,3.0786,5.36734008789062,52349.2459994422,91.43060973
DEU,Germany,2022,88.7857542130501,100.0,124.158264349285,1.8092581243061,3.07096,5.23916006088257,50506.5179638543,91.62984383
DEU,Germany,2023,81.9625483787634,100.0,124.662572774586,-0.869647578573321,3.1539,,54776.7668235491,92.4763763
DEU,Germany,2024,79.0907305894936,,129.150921864378,-0.495851897260366,,,56103.7323182554,93.49999579
FRA,France,2015,63.5046871956484,100.0,102.718366606519,1.06675474783462,2.22401,,36702.4323733379,78.0060377071902
FRA,France,2016,63.3427564383351,100.0,103.816661597799,0.860031075424033,2.22468,,37024.2157133669,79.2698113207547
FRA,France,2017,65.3958481559711,100.0,105.718368398783,2.08361485997399,2.20422,5.46482992172241,38687.1626407164,80.5024597243607
FRA,France,2018,66.8022607812266,100.0,107.482434668386,1.64590872395887,2.20407,5.42540979385376,41418.1766484844,82.0431867788484
