pais,pais_nome,ano,valor
MEX,Mexico,2021,83.0692976357895
MEX,Mexico,2020,76.8545557056016
MEX,Mexico,2019,77.4619722571128
MEX,Mexico,2018,80.2126616568975
MEX,Mexico,2017,76.9521260407254
MEX,Mexico,2016,75.6903034088551
MEX,Mexico,2015,70.412974676264
MYS,Malaysia,2024,137.362571161559
MYS,Malaysia,2023,132.593461641599
MYS,Malaysia,2022,146.424604753908
MYS,Malaysia,2021,134.035994690727
MYS,Malaysia,2020,116.788182437638
MYS,Malaysia,2019,123.028562027943
MYS,Malaysia,2018,130.402625502126
MYS,Malaysia,2017,133.155173371956
MYS,Malaysia,2016,126.8990100257
MYS,Malaysia,2015,131.37007244526
NLD,Netherlands,2024,153.83065216636
NLD,Netherlands,2023,165.030429478933
NLD,Netherlands,2022,184.107484252682
NLD,Netherlands,2021,163.154842689698
NLD,Netherlands,2020,152.233230409706
NLD,Netherlands,2019,160.676671884999
NLD,Netherlands,2018,163.559146573044
NLD,Netherlands,2017,159.646059656847
NLD,Netherlands,2016,150.96552921165
NLD,Netherlands,2015,160.325812564809
NOR,Norway,2024,81.3635091827243
NOR,Norway,2023,80.3638456401269
NOR,Norway,2022,82.6094798361389
NOR,Norway,2021,71.2227137759599
NOR,Norway,2020,65.3539790413323
NOR,Norway,2019,70.8958205272987
NOR,Norway,2018,70.0031957894984
NOR,Norway,2017,69.1087817621061
NOR,Norway,2016,69.1168423974699
NOR,Norway,2015,70.431856540017
NZL,New Zealand,2024,51.224397222513
NZL,New Zealand,2023,50.4064316790513
NZL,New Zealand,2022,53.4761627655817
NZL,New Zealand,2021,48.5412477650846
NZL,New Zealand,2020,43.9772422862431
NZL,New Zealand,2019,54.4542971758367
NZL,New Zealand,2018,55.7664814899437
NZL,New Zealand,2017,54.1432970416804
NZL,New Zealand,2016,52.4062478142589
NZL,New Zealand,2015,54.851331734287
PAK,Pakistan,2024,27.5784683520695
PAK,Pakistan,2023,28.4676925469837
PAK,Pakistan,2022,33.031353478032
PAK,Pakistan,2021,27.0304204125548
PAK,Pakistan,2020,26.7162807328814
PAK,Pakistan,2019,28.9055769867032
PAK,Pakistan,2018,27.6260570796337
